839F	儫	wype		hao2
83A0	儬	wgeq		qing4
83A1	儭	wusq		chen4
83A2	儮	wdth		li4
83A3	儯	wudc	wugo	teng2
83A4	儰	waeo		wei3
83A5	儱	wued		long3
83A6	儲	wyfj		chu3
83A7	儳	wqky		chan2
83A8	儴	wyke		xiang1,rang2
83A9	儵	whto		tiao2,shu1
83AA	儶	wmwk		hui4,xie2
83AB	儷	wgmx		li2
83AC	儸	wlxy		luo2
83AD	儹	wtfm		zan3
83AE	儺	waky		nuo2
83AF	儻	wipo		tang3
83B0	儼	wkkt		yan3
83B1	儽	wlli		lei3
83B2	儾	wgke		nang4
83B3	兂	aqv		zan1
83B4	兇	qbqb	rbqb	xiong1
83B5	兊	wcqb		dui4
83B6	兌	wkqb		dui4
83B7	兎	tkqy		tu4
83B8	兏	dhqv		chang2
83B9	児	hjqb		er2
83BA	兒	vqb	eqb	er2
83BB	兓	aqaq		jin1
83BC	兗	ukqb		yan3
83BD	兘	fqck		shi3
83BE	兙	dqfk		ke4
83BF	兛	dqtf		ke4
83C0	兝	dqwv		fen1
83C1	兞	dqtn	dqev	ke4
83C2	兟	tfqq		shen1
83C3	兠	urxq	ruxq	dou1
83C4	兡	dqdj		ke4
83C5	兣	dqdf		gong1
83C6	兤	iqyw	igqw	huang3
83C7	兦	tynv		wang2
83C8	內	mtyi		nei4
83C9	兩	gmhy		liang3
83CA	兪	wgeb		yu2,shu4
83CB	兯	ubj		jie2
83CC	兲	gwu		tian1
83CD	兺	wvkx		
83CE	兾	ulaw		ji4
83CF	兿	urvc		yi4
83D0	冃	mfd		mao4
83D1	冄	mfd		ran2
83D2	円	mhgd		yuan2
83D3	冇	dmb		mao3
83D4	冊	mak		ce4
83D5	冋	mkd		jiong3
83D6	冎	mnmb		gua3
83D7	冏	mwkd		jiong3
83D8	冐	jef		mo4
83D9	冑	mef		zhou4
83DA	冓	fjgf	amff	gou1
83DB	冔	jkgf		xu3
83DC	冘	pqv		yin2
83DD	冚	pmj		kan3
83DE	冝	pegf		yi2
83DF	冞	pou		mi2
83E0	冟	prxb		shi4
83E1	冡	pgeu	pfeu	meng2
83E2	冣	pbcu		ju4
83E3	冦	pfqc		kou4
83E4	冧	pssu		lin2
83E5	冨	pgkl		fu4
83E6	冩	pvqo	peqo	xie3
83E7	冪	pajh		mi4
83E8	冭	duu		tai4
83E9	冮	uag		gang1
83EA	冴	uaht		hu4
83EB	冸	uufh	uugh	pan4
83EC	冹	udcy		fu2
