'dan'si'piao'yin 箪食瓢饮
'ba'shan'gang'ding 拔山扛鼎
'zi'dan 子弹
'dan'gong 弹弓
'dan'yao 弹药
'dan'wu'xu'fa 弹无虚发
'dan'jin'liang'jue 弹尽粮绝
'qiang'lin'dan'yu 枪林弹雨
'dao'dan 导弹
'liu'dan 榴弹
'pao'dan 炮弹
'qiang'dan 枪弹
'dan'wan 弹丸
'xian'dan 霰弹
'dan'tou 弹头
'dan'tang 弹膛
'fang'dan 防弹
'qing'dan 氢弹
'tou'dan 投弹
'xin'hao'dan 信号弹
'cui'lei'dan 催泪弹
'dan'zi 弹子
'zha'dan 炸弹
'dan'dao 弹道
